miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-mir-146b	hg19:10:104196259-104196281:+	1	0.327265	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196276-104196297:+	1	0.327265	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196277-104196296:+	6	1.963588	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196277-104196297:+	16	5.236234	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196277-104196298:+	63	20.617673	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196277-104196299:+	257	84.107014	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196277-104196300:+	105	34.362788	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196277-104196301:+	154	50.398756	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196282-104196301:+	1	0.327265	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196283-104196301:+	1	0.327265	N	mature,MIMAT0002809
hsa-mir-146b	hg19:10:104196297-104196319:+	1	0.327265	N	mature,MIMAT0004766
hsa-mir-146b	hg19:10:104196313-104196335:+	5	1.636323	N	mature,MIMAT0004766
hsa-mir-146b	hg19:10:104196313-104196336:+	15	4.908970	N	mature,MIMAT0004766
hsa-mir-146b	hg19:10:104196314-104196335:+	10	3.272646	N	mature,MIMAT0004766
hsa-mir-146b	hg19:10:104196314-104196336:+	62	20.290408	N	mature,MIMAT0004766
hsa-mir-146b	hg19:10:104196315-104196336:+	1	0.327265	N	mature,MIMAT0004766
hsa-mir-147b	hg19:15:45725259-45725283:+	1	0.327265	N	unannotated
hsa-mir-147b	hg19:15:45725259-45725289:+	1	0.327265	N	unannotated
hsa-mir-147b	hg19:15:45725296-45725315:+	1	0.327265	N	mature,MIMAT0004928
hsa-mir-148a	hg19:7:25989540-25989564:-	42	13.745115	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989541-25989563:-	5	1.636323	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989541-25989564:-	1174	384.208695	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989542-25989559:-	1	0.327265	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989542-25989561:-	3	0.981794	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989542-25989563:-	8	2.618117	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989542-25989564:-	17186	5624.370220	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989542-25989565:-	3	0.981794	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989543-25989563:-	6	1.963588	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989543-25989564:-	10986	3595.329410	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989543-25989565:-	3	0.981794	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989544-25989564:-	149	48.762432	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989545-25989564:-	15	4.908970	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989546-25989564:-	4	1.309059	N	mature,MIMAT0000243
hsa-mir-148a	hg19:7:25989580-25989602:-	22	7.199822	N	star,MIMAT0004549
hsa-mir-148a	hg19:7:25989581-25989602:-	12	3.927176	N	star,MIMAT0004549
hsa-mir-148a	hg19:7:25989581-25989603:-	4	1.309059	N	star,MIMAT0004549
hsa-mir-148a	hg19:7:25989582-25989602:-	43	14.072380	N	star,MIMAT0004549
hsa-mir-148a	hg19:7:25989582-25989603:-	16	5.236234	N	star,MIMAT0004549
hsa-mir-148b	hg19:12:54731023-54731045:+	2	0.654529	N	star,MIMAT0004699
hsa-mir-148b	hg19:12:54731024-54731046:+	1	0.327265	N	star,MIMAT0004699
hsa-mir-148b	hg19:12:54731062-54731080:+	3	0.981794	N	mature,MIMAT0000759
hsa-mir-148b	hg19:12:54731062-54731081:+	1	0.327265	N	mature,MIMAT0000759
hsa-mir-148b	hg19:12:54731062-54731082:+	11	3.599911	N	mature,MIMAT0000759
hsa-mir-148b	hg19:12:54731062-54731083:+	280	91.634101	N	mature,MIMAT0000759
hsa-mir-148b	hg19:12:54731062-54731084:+	190	62.180283	N	mature,MIMAT0000759
hsa-mir-149	hg19:2:241395411-241395432:+	1	0.327265	N	precursor
hsa-mir-149	hg19:2:241395412-241395432:+	1	0.327265	N	precursor
hsa-mir-149	hg19:2:241395432-241395449:+	1	0.327265	N	mature,MIMAT0000450
hsa-mir-149	hg19:2:241395432-241395450:+	1	0.327265	N	mature,MIMAT0000450
hsa-mir-149	hg19:2:241395432-241395451:+	3	0.981794	N	mature,MIMAT0000450
hsa-mir-149	hg19:2:241395432-241395452:+	156	51.053285	N	mature,MIMAT0000450
hsa-mir-149	hg19:2:241395432-241395453:+	89	29.126554	N	mature,MIMAT0000450
hsa-mir-149	hg19:2:241395432-241395454:+	132	43.198933	N	mature,MIMAT0000450
hsa-mir-149	hg19:2:241395432-241395455:+	46	15.054174	N	mature,MIMAT0000450
hsa-mir-149	hg19:2:241395472-241395493:+	3	0.981794	N	star,MIMAT0004609
hsa-mir-149	hg19:2:241395472-241395494:+	1	0.327265	N	star,MIMAT0004609
hsa-mir-150	hg19:19:50004056-50004076:-	1	0.327265	N	star,MIMAT0004610
hsa-mir-150	hg19:19:50004088-50004111:-	1	0.327265	N	mature,MIMAT0000451
hsa-mir-150	hg19:19:50004089-50004111:-	191	62.507548	N	mature,MIMAT0000451
hsa-mir-150	hg19:19:50004090-50004111:-	144	47.126109	N	mature,MIMAT0000451
hsa-mir-150	hg19:19:50004090-50004112:-	1	0.327265	N	mature,MIMAT0000451
hsa-mir-150	hg19:19:50004091-50004111:-	196	64.143871	N	mature,MIMAT0000451
hsa-mir-150	hg19:19:50004091-50004113:-	2	0.654529	N	mature,MIMAT0000451
hsa-mir-150	hg19:19:50004092-50004111:-	3	0.981794	N	mature,MIMAT0000451
hsa-mir-150	hg19:19:50004093-50004111:-	5	1.636323	N	mature,MIMAT0000451
hsa-mir-151	hg19:8:141742683-141742706:-	1	0.327265	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742684-141742705:-	1	0.327265	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742684-141742706:-	2	0.654529	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742684-141742707:-	4	1.309059	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742685-141742706:-	6	1.963588	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742685-141742707:-	3028	990.957351	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742685-141742708:-	2	0.654529	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742685-141742709:-	2	0.654529	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742686-141742706:-	8	2.618117	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742686-141742707:-	11725	3837.177984	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742686-141742708:-	180	58.907636	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742686-141742709:-	273	89.343249	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742687-141742706:-	1	0.327265	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742687-141742707:-	1195	391.081253	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742687-141742708:-	59	19.308614	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742687-141742709:-	438	143.341915	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742688-141742707:-	508	166.250441	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742688-141742708:-	42	13.745115	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742688-141742709:-	677	221.558166	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742689-141742707:-	29	9.490675	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742689-141742708:-	3	0.981794	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742689-141742709:-	23	7.527087	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742690-141742708:-	1	0.327265	N	mature,MIMAT0000757
hsa-mir-151	hg19:8:141742719-141742741:-	1	0.327265	N	mature,MIMAT0004697
hsa-mir-151	hg19:8:141742719-141742742:-	1	0.327265	N	mature,MIMAT0004697
hsa-mir-151	hg19:8:141742720-141742743:-	16	5.236234	N	mature,MIMAT0004697
hsa-mir-151	hg19:8:141742721-141742742:-	1	0.327265	N	mature,MIMAT0004697
hsa-mir-151	hg19:8:141742721-141742743:-	531	173.777527	N	mature,MIMAT0004697
hsa-mir-151	hg19:8:141742721-141742744:-	20	6.545293	N	mature,MIMAT0004697
hsa-mir-151	hg19:8:141742743-141742760:-	1	0.327265	N	precursor
hsa-mir-151	hg19:8:141742743-141742762:-	3	0.981794	N	precursor
hsa-mir-152	hg19:17:46114539-46114561:-	303	99.161188	N	mature,MIMAT0000438
hsa-mir-152	hg19:17:46114540-46114561:-	1312	429.371217	N	mature,MIMAT0000438
hsa-mir-152	hg19:17:46114540-46114562:-	1	0.327265	N	mature,MIMAT0000438
hsa-mir-152	hg19:17:46114541-46114561:-	41	13.417851	N	mature,MIMAT0000438
hsa-mir-152	hg19:17:46114576-46114599:-	1	0.327265	N	unannotated
hsa-mir-152	hg19:17:46114577-46114599:-	1	0.327265	N	unannotated
hsa-mir-152	hg19:17:46114577-46114600:-	1	0.327265	N	unannotated
hsa-mir-153-1	hg19:2:220158848-220158870:-	1	0.327265	N	mature,MIMAT0000439
hsa-mir-153-2	hg19:7:157367041-157367063:-	2	0.654529	N	mature,MIMAT0000439
hsa-mir-153-2	hg19:7:157367081-157367102:-	15	4.908970	N	unannotated
hsa-mir-1537	hg19:1:236016336-236016357:-	1	0.327265	N	unannotated
hsa-mir-154	hg19:14:101526087-101526106:+	1	0.327265	N	precursor
hsa-mir-154	hg19:14:101526106-101526127:+	1	0.327265	N	mature,MIMAT0000452
hsa-mir-154	hg19:14:101526106-101526128:+	2	0.654529	N	mature,MIMAT0000452
hsa-mir-154	hg19:14:101526142-101526161:+	1	0.327265	N	star,MIMAT0000453
hsa-mir-154	hg19:14:101526142-101526163:+	2	0.654529	N	star,MIMAT0000453
hsa-mir-154	hg19:14:101526142-101526164:+	4	1.309059	N	star,MIMAT0000453
hsa-mir-154	hg19:14:101526144-101526164:+	1	0.327265	N	star,MIMAT0000453
hsa-mir-155	hg19:21:26946295-26946314:+	8	2.618117	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946295-26946315:+	69	22.581261	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946295-26946316:+	193	63.162077	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946295-26946317:+	249	81.488897	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946295-26946318:+	152	49.744226	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946295-26946319:+	28	9.163410	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946295-26946320:+	4	1.309059	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946295-26946322:+	1	0.327265	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946296-26946315:+	1	0.327265	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946296-26946317:+	1	0.327265	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946296-26946320:+	1	0.327265	N	mature,MIMAT0000646
hsa-mir-155	hg19:21:26946334-26946356:+	1	0.327265	N	star,MIMAT0004658
hsa-mir-15a	hg19:13:50623266-50623288:-	1	0.327265	N	star,MIMAT0004488
hsa-mir-15a	hg19:13:50623296-50623325:-	1	0.327265	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623301-50623320:-	2	0.654529	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623301-50623322:-	2	0.654529	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623301-50623324:-	1	0.327265	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623301-50623325:-	222	72.652752	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623302-50623324:-	4	1.309059	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623302-50623325:-	217	71.016428	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623303-50623325:-	87	28.472024	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623304-50623325:-	265	86.725131	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623305-50623325:-	121	39.599022	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623306-50623325:-	8	2.618117	N	mature,MIMAT0000068
hsa-mir-15a	hg19:13:50623307-50623325:-	7	2.290853	N	mature,MIMAT0000068
hsa-mir-15b	hg19:3:160122374-160122394:+	1	0.327265	N	precursor
hsa-mir-15b	hg19:3:160122374-160122395:+	1	0.327265	N	precursor
hsa-mir-15b	hg19:3:160122376-160122395:+	1	0.327265	N	precursor
hsa-mir-15b	hg19:3:160122395-160122413:+	139	45.489786	N	mature,MIMAT0000417
hsa-mir-15b	hg19:3:160122395-160122414:+	183	59.889430	N	mature,MIMAT0000417
hsa-mir-15b	hg19:3:160122395-160122415:+	343	112.251774	N	mature,MIMAT0000417
hsa-mir-15b	hg19:3:160122395-160122416:+	474	155.123443	N	mature,MIMAT0000417
hsa-mir-15b	hg19:3:160122395-160122417:+	1167	381.917843	N	mature,MIMAT0000417
hsa-mir-15b	hg19:3:160122395-160122418:+	3	0.981794	N	mature,MIMAT0000417
hsa-mir-15b	hg19:3:160122398-160122417:+	8	2.618117	N	mature,MIMAT0000417
hsa-mir-15b	hg19:3:160122433-160122450:+	1	0.327265	N	star,MIMAT0004586
hsa-mir-15b	hg19:3:160122433-160122452:+	175	57.271313	N	star,MIMAT0004586
hsa-mir-15b	hg19:3:160122433-160122453:+	23	7.527087	N	star,MIMAT0004586
hsa-mir-15b	hg19:3:160122433-160122454:+	178	58.253107	N	star,MIMAT0004586
hsa-mir-15b	hg19:3:160122433-160122455:+	54	17.672291	N	star,MIMAT0004586
hsa-mir-16-1	hg19:13:50623120-50623137:-	1	0.327265	N	star,MIMAT0004489
hsa-mir-16-1	hg19:13:50623121-50623141:-	1	0.327265	N	star,MIMAT0004489
hsa-mir-16-1	hg19:13:50623121-50623143:-	18	5.890764	N	star,MIMAT0004489
hsa-mir-16-1	hg19:13:50623121-50623145:-	1	0.327265	N	star,MIMAT0004489
hsa-mir-16-1	hg19:13:50623122-50623143:-	2	0.654529	N	star,MIMAT0004489
hsa-mir-16-1	hg19:13:50623124-50623143:-	1	0.327265	N	star,MIMAT0004489
hsa-mir-16-1	hg19:13:50623124-50623146:-	1	0.327265	N	star,MIMAT0004489
hsa-mir-16-1	hg19:13:50623161-50623185:-	5	1.636323	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623162-50623180:-	10	3.272646	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623162-50623181:-	1	0.327265	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623162-50623185:-	82	26.835701	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623163-50623180:-	55	17.999556	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623163-50623181:-	2	0.654529	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623163-50623182:-	11	3.599911	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623163-50623183:-	5	1.636323	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623163-50623184:-	2	0.654529	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623163-50623185:-	4108	1344.403169	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623164-50623180:-	1	0.327265	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623164-50623183:-	1	0.327265	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623164-50623185:-	235	76.907192	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623165-50623180:-	1	0.327265	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623165-50623182:-	2	0.654529	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623165-50623185:-	1413	462.424946	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623166-50623185:-	192	62.834812	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623167-50623185:-	2	0.654529	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623169-50623185:-	2	0.654529	N	mature,MIMAT0000069
hsa-mir-16-1	hg19:13:50623170-50623185:-	2	0.654529	N	mature,MIMAT0000069
hsa-mir-16-2	hg19:3:160122542-160122567:+	4	1.309059	N	mature,MIMAT0000069
hsa-mir-16-2	hg19:3:160122546-160122567:+	1	0.327265	N	mature,MIMAT0000069
hsa-mir-16-2	hg19:3:160122583-160122602:+	1	0.327265	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122583-160122604:+	4	1.309059	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122584-160122602:+	3	0.981794	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122584-160122603:+	6	1.963588	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122584-160122604:+	85	27.817495	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122584-160122605:+	33	10.799733	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122584-160122606:+	24	7.854352	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122585-160122604:+	6	1.963588	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122585-160122605:+	5	1.636323	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122585-160122606:+	3	0.981794	N	star,MIMAT0004518
hsa-mir-16-2	hg19:3:160122585-160122607:+	5	1.636323	N	star,MIMAT0004518
hsa-mir-17	hg19:13:92002871-92002891:+	4	1.309059	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002871-92002892:+	10	3.272646	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002871-92002893:+	21	6.872558	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002871-92002894:+	4	1.309059	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002871-92002895:+	2	0.654529	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002872-92002891:+	10	3.272646	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002872-92002892:+	55	17.999556	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002872-92002893:+	251	82.143426	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002872-92002894:+	153	50.071491	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002872-92002895:+	416	136.142093	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002872-92002896:+	4	1.309059	N	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002873-92002894:+	2	0.654529	Y	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002873-92002895:+	18	5.890764	Y	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002874-92002892:+	1	0.327265	Y	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002874-92002893:+	2	0.654529	Y	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002875-92002893:+	1	0.327265	Y	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002875-92002894:+	1	0.327265	Y	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002875-92002895:+	1	0.327265	Y	mature,MIMAT0000070
hsa-mir-17	hg19:13:92002908-92002931:+	1	0.327265	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002909-92002929:+	5	1.636323	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002909-92002930:+	1	0.327265	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002909-92002931:+	548	179.341026	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002910-92002930:+	1	0.327265	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002910-92002931:+	190	62.180283	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002910-92002932:+	3	0.981794	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002911-92002931:+	2	0.654529	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002913-92002931:+	1	0.327265	N	star,MIMAT0000071
hsa-mir-17	hg19:13:92002914-92002931:+	1	0.327265	N	star,MIMAT0000071
hsa-mir-181a-1	hg19:1:198828198-198828215:-	1	0.327265	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828198-198828217:-	2	0.654529	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828198-198828219:-	4	1.309059	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828198-198828220:-	412	134.833034	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828198-198828221:-	1	0.327265	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828199-198828220:-	158	51.707814	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828199-198828221:-	2	0.654529	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828200-198828220:-	47	15.381438	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828200-198828221:-	2	0.654529	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828201-198828220:-	37	12.108792	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828201-198828222:-	1	0.327265	N	star,MIMAT0000270
hsa-mir-181a-1	hg19:1:198828235-198828260:-	21	6.872558	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828236-198828254:-	1	0.327265	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828236-198828259:-	1	0.327265	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828236-198828260:-	68	22.253996	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828237-198828258:-	8	2.618117	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828237-198828259:-	19	6.218028	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828237-198828260:-	2169	709.837019	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828238-198828258:-	2	0.654529	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828238-198828259:-	33	10.799733	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828238-198828260:-	4245	1389.238426	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828238-198828261:-	5	1.636323	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828239-198828258:-	2	0.654529	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828239-198828259:-	2	0.654529	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828239-198828260:-	395	129.269535	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828239-198828261:-	1	0.327265	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828240-198828259:-	2	0.654529	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828240-198828260:-	121	39.599022	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828240-198828261:-	1	0.327265	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828241-198828260:-	54	17.672291	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828242-198828260:-	33	10.799733	N	mature,MIMAT0000256
hsa-mir-181a-1	hg19:1:198828243-198828260:-	1	0.327265	N	mature,MIMAT0000256
hsa-mir-181a-2	hg19:9:127454739-127454759:+	5	1.636323	N	precursor
hsa-mir-181a-2	hg19:9:127454740-127454758:+	1	0.327265	N	precursor
hsa-mir-181a-2	hg19:9:127454740-127454759:+	4	1.309059	N	precursor
hsa-mir-181a-2	hg19:9:127454796-127454816:+	18	5.890764	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454796-127454817:+	55	17.999556	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454796-127454818:+	97	31.744671	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454796-127454819:+	20	6.545293	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454797-127454814:+	1	0.327265	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454797-127454816:+	226	73.961810	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454797-127454817:+	819	268.029746	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454797-127454818:+	3388	1108.772623	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454797-127454819:+	5194	1699.812576	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454797-127454820:+	31	10.145204	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454798-127454816:+	1	0.327265	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454798-127454818:+	10	3.272646	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454798-127454819:+	16	5.236234	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454798-127454820:+	2	0.654529	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454801-127454819:+	1	0.327265	N	star,MIMAT0004558
hsa-mir-181a-2	hg19:9:127454819-127454839:+	1	0.327265	N	precursor
hsa-mir-181a-2	hg19:9:127454819-127454840:+	2	0.654529	N	precursor
hsa-mir-181b-1	hg19:1:198828015-198828037:-	7	2.290853	N	unannotated
hsa-mir-181b-1	hg19:1:198828016-198828037:-	14	4.581705	N	unannotated
hsa-mir-181b-1	hg19:1:198828017-198828036:-	1	0.327265	N	unannotated
hsa-mir-181b-1	hg19:1:198828017-198828037:-	22	7.199822	N	unannotated
hsa-mir-181b-1	hg19:1:198828018-198828036:-	1	0.327265	N	unannotated
hsa-mir-181b-1	hg19:1:198828018-198828037:-	10	3.272646	N	unannotated
hsa-mir-181b-1	hg19:1:198828018-198828047:-	1	0.327265	N	unannotated
hsa-mir-181b-1	hg19:1:198828023-198828053:-	1	0.327265	N	stemloop
hsa-mir-181b-1	hg19:1:198828024-198828046:-	1	0.327265	N	unannotated
hsa-mir-181b-1	hg19:1:198828052-198828077:-	1	0.327265	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828053-198828075:-	4	1.309059	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828053-198828076:-	11	3.599911	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828053-198828077:-	101	33.053729	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828054-198828075:-	1	0.327265	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828054-198828076:-	41	13.417851	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828054-198828077:-	486	159.050618	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828054-198828078:-	7	2.290853	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828055-198828075:-	1	0.327265	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828055-198828076:-	65	21.272202	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828055-198828077:-	1001	327.591911	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828055-198828078:-	5	1.636323	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828055-198828079:-	1	0.327265	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828056-198828073:-	1	0.327265	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828056-198828075:-	1	0.327265	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828056-198828076:-	70	22.908525	N	mature,MIMAT0000257
hsa-mir-181b-1	hg19:1:198828056-198828077:-	1112	363.918287	N	mature,MIMAT0000257
